id,severity,cvss_score,cvss_vector,finding_type,title,description,impact,mitigation,replication_steps,host_detection_techniques,network_detection_techniques,references,finding_guidance,tags,extra_fields
708,Critical,,,AD,Zerologon vulnerability,"The Zerologon vulnerability, identified as CVE-2020-1472, poses a significant security risk because it allows unauthenticated attackers to exploit a cryptographic flaw in the Netlogon process. This flaw enables attackers to gain domain administrator privileges without any credentials, leading to potential full control over the domain. If systems remain unpatched, attackers can execute arbitrary commands, exfiltrate sensitive data, and disrupt operations across the network.",,"<p>To effectively mitigate the Zerologon vulnerability, it is crucial to:</p><ul><li>Immediately apply the latest security patches provided by Microsoft to all domain controllers.</li><li>Verify that all systems are compliant by conducting a thorough audit post-patching.</li><li>Implement network monitoring to detect any unauthorized access attempts.</li><li>Regularly update and review security policies to ensure ongoing protection against similar vulnerabilities.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
756,High,,,365,Block Legacy Authentication,"Blocking legacy authentication is crucial because these protocols lack support for multi-factor authentication (MFA), which is a key defense against unauthorized access. Legacy authentication methods, such as Basic Authentication, are vulnerable to credential theft since they typically transmit credentials in an unencrypted format. By allowing these outdated protocols, organizations expose themselves to increased risks of account compromise, potentially leading to unauthorized data access and breaches. Therefore, blocking legacy authentication is an essential step in strengthening security posture and protecting sensitive information.",,"<p>To mitigate the risks associated with legacy authentication, implement the following steps:</p><ul><li>Create and enforce conditional access policies that specifically block legacy authentication protocols. This can be done through your identity management solution, such as Azure AD or a similar service.</li><li>Ensure that all applications and services are updated to support modern authentication protocols that inherently support MFA.</li><li>Regularly review and update your access policies to ensure compliance with security best practices.</li></ul><p>These steps help in significantly reducing the risk of unauthorized access and enhancing the overall security framework of your organization.</p>",,,,https://learn.microsoft.com/en-us/entra/identity/conditional-access/policy-block-legacy-authentication,,"365,SCUBA","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
32,High,,,365,Disable Application Passwords,"<p>Application passwords in Microsoft 365 are legacy authentication mechanisms used to allow non-modern applications to bypass MFA. These passwords are long, static credentials that do not support MFA and are not subject to Conditional Access policies, making them a significant security risk.</p>

<p>If application passwords are enabled, attackers who obtain a user’s primary credentials can generate an application password and maintain persistent access to the account—completely bypassing MFA enforcement. This undermines the security posture of the environment and increases the risk of unauthorized access, especially in phishing and password spray scenarios.</p>",,"<p>Disable application passwords in 365 Admin portal. Additionally, audit existing application passwords and revoke any that were previously created.</p>",,,,,,,"{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
33,High,,,365,Disable Exchange Online PowerShell for Regular Users,"<p>Allowing regular users access to Exchange Online PowerShell presents a security risk by exposing administrative interfaces to non-privileged accounts. Although Exchange Online PowerShell is typically used by administrators for configuration and management tasks, if left enabled for all users, it creates a potential pathway for abuse or exploitation. An attacker compromising a standard user account could leverage this access to enumerate settings, probe for misconfigurations, or escalate privileges, especially in the presence of weak Role-Based Access Control (RBAC) enforcement.</p>

<p>Moreover, open PowerShell access increases the risk of credential harvesting, lateral movement, or data exfiltration using scripting tools that are difficult to monitor with traditional auditing methods.</p>",,"<p>Disable Exchange Online PowerShell access for all regular (non-admin) users by configuring the <code data-nodeid=""82"" data-backticks=""1"">RemotePowerShellEnabled</code> attribute in Exchange Online. This can be done using the following PowerShell command:</p>

<pre class=""text-evidence language-csharp""><code>Get-User | Where-Object { $_.IsLicensed -eq $true -and $_.RecipientTypeDetails -eq ""UserMailbox"" } | Set-User -RemotePowerShellEnabled $false</code></pre>

<p data-nodeid=""77"">Ensure that only authorized administrators retain access, and regularly audit PowerShell-enabled accounts to maintain least privilege. Additionally, implement Conditional Access policies and role-based access controls to further restrict and monitor administrative command-line access.</p>

<p data-nodeid=""78"">This action helps minimize the attack surface, reduce privilege abuse opportunities, and align with best practices for securing remote administration interfaces.</p>

<p data-nodeid=""79"">As this cannot be done automatically when creating new users, this exercise should be periodically performed to ensure that all new users created or synced in the tenant have Exchange PowerShell disabled.</p>",,,,"<p>For detailed information see: <a href=""https://learn.microsoft.com/en-us/powershell/exchange/disable-access-to-exchange-online-powershell?view=exchange-ps"" data-nodeid=""90"">https://learn.microsoft.com/en-us/powershell/exchange/disable-access-to-exchange-online-powershell?view=exchange-ps</a></p>",,,"{""levelofeffort"": ""High"", ""remediation_impact"": ""Low""}"
35,High,,,365,Entra ID privileged users that are also privileged in AD,"<p>It's common in organizations that the people who manage Active Directory also manage Entra ID, and potentially M365 and Azure<br />as well. In these scenarios users may require privileged credentials in all of these environments. It's critical for organizations to<br />separate the privileged credentials out between the different identity stores, so that one user is not privileged in multiple directory<br />systems.</p>",,"<p>Review the users identified as holding privileges in both Active Directory and Entra ID, and device a plan for separating out the<br />privileged roles into multiple credentials.</p>

<p><br />Separation of privileges is usually handled on a case-by-case basis, formulated by the level of privileges the role holds, as well as<br />determining which identity system will be easier to create a new set of privileged credentials for the user in.</p>

<p><br />A common practice for privilege separation into new sets of privileges users, is to create a new user in the target system that holds<br />the same roles, and start using that user in the target system, validating that role functionality continues as needed. Then, the<br />privileges are removed from the existing user that are no longer needed.</p>

<p><br />If a privileged user from Active Directory was holding privileges in Entra ID and those privileges have been removed from Entra ID,<br />the organization should also consider if they still need to synchronize the user from Active Directory. This is to defend the user<br />account from potential attacks that target moving laterally between the two directory systems.</p>

<p><br />If a new privileged user is created in Entra ID, the user should be created as a cloud-only account that is not synchronized from<br />Active Directory, even if it has no privileges in Active Directory. This is to defend the user account from potential attacks that target<br />moving laterally between the two directory systems.</p>",,,,"<p>https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/best-practices#9-use-cloud-native-accounts-for-microsoft-entra-roles</p>

<p>https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/security-planning</p>",,"Knight,Purple","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""High""}"
615,High,,,365,Guest users are not restricted,"The lack of restrictions on guest users poses a significant security risk, as it allows external actors to potentially enumerate users and objects within the system. This can lead to unauthorized access and exploitation of sensitive information. Implementing proper guest user restrictions is crucial to safeguard against data breaches and maintain the integrity of the system.",,"<p>To address this issue, follow the steps below:</p><ul><li>Access the Azure Active Directory (Azure AD) portal.</li><li>Navigate to the 'Users' section and select 'User settings'.</li><li>Under 'External users', configure the 'Guest user permissions are limited' setting to ensure that guest users have restricted access.</li><li>Review and adjust any additional settings under 'Manage external collaboration settings' to block tenant-wide enumeration and limit guest access as necessary.</li><li>Regularly audit guest user activities and adjust permissions as required to maintain security.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
647,High,,,365,Permanent active privileged role assignment,"The finding highlights the issue of certain privileged roles within Entra ID Privileged Identity Management (PIM) being assigned as permanently active. This configuration allows users to maintain continuous elevated access to sensitive systems or data without any time-bound restrictions. Such permanent active assignments significantly heighten the risk of privilege escalation, where a user could exploit their elevated permissions for malicious purposes or accidental misuse. This poses a substantial threat to the organization's security posture by potentially allowing unauthorized access to critical resources.",,"<p>To address this security risk, organizations should avoid assigning privileged roles in Privileged Identity Management (PIM) as permanently active. Instead, roles should be configured to require activation and approval for each use. Implement the following steps:</p><ul><li>Evaluate current privileged role assignments and identify any permanently active roles.</li><li>Reconfigure these roles to require activation, ensuring that users must request and justify their need for elevated permissions.</li><li>Implement an approval workflow that mandates managerial or administrative approval before granting access.</li><li>Regularly review and audit role assignments to ensure compliance with security policies.</li><li>Educate users about the importance and procedures of activating roles only when necessary.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
654,High,,,365,Privileged accounts with mailbox,"Privileged Entra ID accounts linked with mailboxes present a significant security risk as they are highly attractive targets for malicious activities such as phishing attacks and token theft. These accounts, typically having elevated permissions, can be exploited by attackers to gain unauthorized access to sensitive information and systems, potentially leading to data breaches and other security incidents.",,"<p>To mitigate this risk, take the following steps:</p><ul><li><strong>Avoid assigning mailboxes to privileged accounts:</strong> Ensure that privileged accounts do not have mailboxes associated with them whenever possible.</li><li><strong>Restrict mailbox access:</strong> If it's necessary to have mailboxes linked to privileged accounts, implement strict access controls to limit who can access these mailboxes.</li><li><strong>Monitor for abuse:</strong> Continuously monitor mailbox activity associated with privileged accounts for any signs of unauthorized access or abuse.</li><li><strong>Implement Multi-Factor Authentication (MFA):</strong> Enforce MFA on all accounts, especially privileged ones, to add an additional layer of security.</li><li><strong>Regularly review permissions:</strong> Conduct periodic reviews of account permissions and access rights to ensure they are aligned with the principle of least privilege.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
676,High,,,365,Suspicious credentials on Microsoft service principals,"Suspicious credentials have been detected on Microsoft service principals. These credentials can potentially be exploited through client credential grant flows, allowing unauthorized access to sensitive resources. Service principals are used to delegate permissions and access to applications within Azure, and if their credentials are compromised, it could lead to a significant security breach. Ensuring that service principals do not have unnecessary secrets or keys reduces the risk of unauthorized access and data exfiltration.",,<ul><li>Conduct a comprehensive audit of all Microsoft service principals within your Azure environment.</li><li>Identify and remove any unnecessary secrets or keys associated with application registrations.</li><li>Implement strict policies for credential management and regularly rotate secrets to mitigate potential exploitation risks.</li><li>Monitor access logs and set up alerts for unusual activities related to service principals.</li></ul>,,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
684,High,,,365,Unresolved Entra ID privileged role members,"The presence of privileged role assignments that include deleted or hidden users poses a significant security risk as it complicates access reviews and policy enforcement. These unresolved entries can lead to unauthorized access, potential data breaches, and difficulty in maintaining compliance with security policies. Ensuring that all role assignments are current and valid is crucial to maintaining a secure and well-managed environment.",,<ol><li>Identify all privileged role assignments associated with deleted or hidden users.</li><li>Review the necessity of each role and its current assignment to ensure only active and legitimate users retain access.</li><li>Remove or reassign roles tied to non-existent or unauthorized entities.</li><li>Implement regular audits of role assignments to prevent recurrence.</li><li>Consider enhancing logging and monitoring to detect any unusual activity linked to privileged roles.</li></ol>,,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
